Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Total_Corrected,Angry_Disgust,Fear_Sad_Neutral,Fear_Surprise,Sad_Neutral,Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
0.5,0.1,1.0,637,20,548,69,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.5,0.15,0.0,656,20,559,77,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6324587880195032,0.6025758570470672,0.6159606936786873,0.6085493729013246,0.6274878869428875,0.6324587880195032,0.6294664664148437
0.5,0.15,0.25,656,20,559,77,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6324587880195032,0.6025376952709044,0.6158902062743058,0.608505948957811,0.6273758544073433,0.6324587880195032,0.6294264364212101
0.5,0.15,0.5,656,20,559,77,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.635244950081263,0.6049438855888413,0.6182177098283773,0.6108519845625511,0.6301001343694126,0.635244950081263,0.6321667235241074
0.5,0.15,0.75,656,20,559,77,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6357093104248898,0.6047550816260495,0.6186135389838554,0.6109424571246277,0.6308558753986513,0.6357093104248898,0.6328195207991517
0.5,0.15,1.0,656,20,559,77,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.5,0.2,0.0,695,23,583,89,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6326909681913164,0.6038344798630756,0.616302262117703,0.6094086678138042,0.6276698545501591,0.6326909681913164,0.629678502606076
0.5,0.2,0.25,695,23,583,89,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6324587880195032,0.6035791765135962,0.6160347303783462,0.6091553611703453,0.627298173011476,0.6324587880195032,0.6293893258809039
0.5,0.2,0.5,695,23,583,89,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6354771302530764,0.6062045630406263,0.6185592782673929,0.6117121735754376,0.6302847405377853,0.6354771302530764,0.6323799308634408
0.5,0.2,0.75,695,23,583,89,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6361736707685164,0.6062502753631278,0.6190843197469933,0.6120015090145204,0.6313562149699762,0.6361736707685164,0.633316428475413
0.5,0.2,1.0,695,23,583,89,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.5,0.3,0.0,832,33,682,117,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6319944276758764,0.6061477643391824,0.6158381086730428,0.6104496194181573,0.6267345702304683,0.6319944276758764,0.628856368709885
0.5,0.3,0.25,832,33,682,117,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6319944276758764,0.606113264509671,0.6157676212686612,0.6104069460946647,0.6266521780486243,0.6319944276758764,0.6288296333437856
0.5,0.3,0.5,832,33,682,117,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6357093104248898,0.6093724541138538,0.6188780123818295,0.6135646895381424,0.6303412434278445,0.6357093104248898,0.6325113662380254
0.5,0.3,0.75,832,33,682,117,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6371023914557696,0.6081701298693909,0.6201553406061696,0.6135441670296882,0.6322203575336033,0.6371023914557696,0.6342075684243254
0.5,0.3,1.0,832,33,682,117,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.55,0.05,0.0,798,28,682,88,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.6028790967415635,0.6154541769350294,0.6085056088660667,0.6266405611962348,0.6317622475040632,0.6287023484255446
